filing_number,filing_date,filing_type,debtor_name,debtor_address,secured_party,collateral_description
2024001234,01/15/2024,UCC-1,MARIO'S PIZZERIA LLC,"123 Main St, Miami, FL 33101",OnDeck Capital Inc,"All assets, accounts receivable, and inventory"
2024001235,01/16/2024,UCC-1,SUNSHINE TRUCKING CO,"456 Highway Dr, Tampa, FL 33602",Rapid Finance LLC,"All equipment, vehicles, and accounts"
2024001236,01/17/2024,UCC-1,COASTAL CONSTRUCTION INC,"789 Beach Blvd, Jacksonville, FL 32202",Bank of America,"Construction equipment and materials"
2024001237,01/18/2024,UCC-1,ORLANDO AUTO REPAIR,"321 Orange Ave, Orlando, FL 32801",Credibly Inc,"All assets including accounts receivable and future receivables"
2024001238,01/19/2024,UCC-1,TAMPA BAY SALON AND SPA,"654 Gulf Blvd, Clearwater, FL 33756",Pearl Beta Funding LLC,"All assets, credit card receivables"
2024001239,01/20/2024,UCC-1,TECH SOLUTIONS CONSULTING,"987 Innovation Way, Boca Raton, FL 33431",First National Bank,"Office equipment and furniture"
2024001240,01/21/2024,UCC-1,FLORIDA HVAC SERVICES LLC,"147 Cool Air Ln, Fort Lauderdale, FL 33301",BlueVine Capital Inc,"All assets, accounts receivable, inventory"
2024001241,01/22/2024,UCC-1,JOES LANDSCAPING AND LAWN CARE,"258 Green St, West Palm Beach, FL 33401",Forward Financing LLC,"All equipment and accounts receivable"
2024001242,01/23/2024,UCC-1,MIAMI MEDICAL CLINIC,"369 Health Dr, Miami, FL 33130",Wells Fargo Bank,"Medical equipment"
2024001243,01/24/2024,UCC-1,BEACHSIDE RESTAURANT GROUP,"741 Ocean Ave, Fort Lauderdale, FL 33304",Libertas Funding LLC,"All assets, future receivables, merchant account proceeds"
2024001244,01/25/2024,UCC-3 TERMINATION,QUICK FREIGHT LOGISTICS,"852 Cargo Way, Jacksonville, FL 32206",Kabbage Inc,"All assets - TERMINATED"
2024001245,01/26/2024,UCC-1,SUNSHINE STATE PLUMBING,"963 Pipe Rd, Orlando, FL 32809",Fundbox Inc,"All assets and accounts receivable"
2024001246,01/27/2024,UCC-1,CENTRAL FLORIDA RETAIL SHOP,"159 Shopping Ln, Kissimmee, FL 34741",Square Capital LLC,"All inventory and accounts"
2024001247,01/28/2024,UCC-1,BAYSHORE FITNESS CENTER,"357 Gym Blvd, St Petersburg, FL 33701",CAN Capital Inc,"All equipment and accounts receivable"
2024001248,01/29/2024,UCC-1,TAMPA DENTAL ASSOCIATES,"468 Smile Dr, Tampa, FL 33607",National Funding Inc,"All assets including accounts receivable"
